CO_NCM,CO_UNID,CO_SH6,CO_PPE,CO_PPI,CO_FAT_AGREG,CO_CUCI_ITEM,CO_CGCE_N3,CO_SIIT,CO_ISIC_CLASSE,CO_EXP_SUBSET,NO_NCM_POR,NO_NCM_ESP,NO_NCM_ING
03047900,10,030479,1380,1265,01,0344,324,4000,1020,2403,"Outros filés de peixes, congelados","Los demás filetes de peces, congelados","Other fish fillets, frozen"
03048100,10,030481,1380,1265,01,0344,324,4000,1020,2403,"Filé de salmão-do-pacífico, do-danúbio, do-atlântico, congelado","Filetes de salmónes del pacífico, etc, congelados","Fillets of pacific, atlantic and danube salmon, frozen"
03048200,10,030482,1380,1265,01,0344,324,4000,1020,2403,"Filés de trutas, congelados","Filetes de trucha, congelados","Trout fillets, frozen"
03048300,10,030483,1380,1263,01,0344,324,4000,1020,2403,"Filés de peixes chatos, congelados","Filetes of platija, congelados","Fillets of flatfish, frozen"
03048400,10,030484,1380,1263,01,0344,324,4000,1020,2403,"Filés de espadarte (Xiphias gladius), congelados","Filetes de pez espada (xyphias gladius), congelados","Fillets of swordfish (xyphias gladius), frozen"
03048510,10,030485,1380,1990,01,0344,324,4000,1020,2403,"Filé de merluza negra (Dissostichus eleginoides), congelado","Filete de merluza negra (dissostichus eleginoides),co.","Fillets of black hake (dissostichus eleginoides),frozen"
03048520,10,030485,1380,1990,01,0344,324,4000,1020,2403,"Filé de merluza antártica (Dissostichus mawsoni), congelado","Filete de merluza de antártica(dissostichus mawson),co.","Fillets of antartic hake (dissostichus mawson), frozen"
03048600,10,030486,1380,1263,01,0344,324,4000,1020,2403,"Filés de arenques (Clupea harengus, Clupea pallasii), congelados","Filetes de arenque (clupea harengus y pallasii), conge.","Fillet of herring (clupea harengus y pallasii), frozen"
03048700,10,030487,1380,1265,01,0344,324,4000,1020,2403,"Filés de atuns e bonito-listrado, congelados","Filetes de atún y lindo rayado, congelados","Tuna fillets, frozen"
03048910,10,030489,1380,1265,01,0344,324,4000,1020,2403,Filé de pargo (Lutjanus purpureus),"Filetes de pargo (lutjanus purpureus), congelado","Fillet of porgies, frozen"
03048920,10,030489,1380,1265,01,0344,324,4000,1020,2403,"Filé de cherne-poveiro (Poluprion americanus), congelado","Filetes de mero-poveiro, congelado","Fillet of atlantic wreckfish, frozen"
